description,latitude,longitude,windowStart,windowEnd,unloadingDuration,loadWeight,loadVolume
80000012,-23.494217,-47.469767,07:30:00,23:59:00,10,84.19,5.94
80000022,-23.477039,-47.474289,07:30:00,23:59:00,6,49.2,3.48
80000026,-23.477419,-47.486589,07:30:00,23:59:00,9,397.43,29.15
80000028,-23.483,-47.48,07:30:00,23:59:00,5,117,8.4
80000035,-23.494183,-47.461644,07:56:00,12:48:00,8,190.8,14.06
80000038,-23.492044,-47.465628,07:30:00,23:59:00,5,117,8.4
80000039,-23.492656,-47.465056,07:21:00,12:32:00,5,429.27,30.32
80000046,-23.488633,-47.471242,07:52:00,11:42:00,7,223.6,17.16
80000049,-23.476381,-47.477356,08:35:00,11:12:00,9,298.3,22.4
80000055,-23.479939,-47.480508,07:45:00,16:24:00,19,1388.58,98.46
80000140,-23.465,-47.495,07:48:00,14:24:00,74,2033.68,138.39
80000165,-23.451592,-47.480817,07:30:00,23:59:00,7,168.69,12.29
80000166,-23.455075,-47.476344,07:30:00,23:59:00,9,116.05,8.17
80000168,-23.434481,-47.509875,09:46:00,17:20:00,34,1480.92,103.92
80000174,-23.497981,-47.456253,07:30:00,23:59:00,9,69.12,5.6
80000197,-23.455906,-47.47285,07:30:00,23:59:00,4,70.2,5.04
80000208,-23.456128,-47.470419,10:28:00,18:58:00,12,218.1,16.08
80000228,-23.50195,-47.464989,07:44:00,12:16:00,47,889.586,59.548
80000248,-23.473969,-47.457006,07:30:00,23:59:00,5,122.6,8.9
80000253,-23.501283,-47.462783,07:30:00,23:59:00,8,207.2,16
80000259,-23.459381,-47.466231,07:30:00,23:59:00,6,106.97,7.71
80000267,-23.482378,-47.472589,09:53:00,10:22:00,5,144.34,10.38
80000269,-23.483089,-47.471989,07:30:00,23:59:00,6,117,8.4
80000272,-23.496886,-47.457136,07:30:00,23:59:00,9,77.7,6
80000280,-23.464531,-47.467358,08:25:00,15:19:00,21,1054.47,74.88
80000316,-23.497767,-47.457825,07:30:00,23:59:00,15,649.3,47.6
80000320,-23.472342,-47.444142,07:51:00,12:24:00,44,2680.93,177.61
80000325,-23.498,-47.458453,07:30:00,23:59:00,6,120.88,9.4
80000341,-23.472869,-47.446342,08:39:00,14:13:00,12,501.79,36.89
80000366,-23.485639,-47.453806,08:14:00,12:06:00,61,1385.75,96.19
80000384,-23.479278,-47.434042,07:43:00,16:16:00,9,64.298,4.699
80000385,-23.530464,-47.4674,07:54:00,16:18:00,8,47.51,3.8
80000401,-23.416039,-47.420319,09:10:00,17:33:00,14,627.36,44.94
80000410,-23.451317,-47.372442,07:30:00,23:59:00,7,352.96,25.18
80000421,-23.490981,-47.430819,10:22:00,17:04:00,12,306.77,22.63
80000431,-23.494069,-47.442281,08:24:00,11:44:00,27,628.1,50.2
80000474,-23.502439,-47.443375,08:02:00,15:40:00,10,300.87,21.525
80000479,-23.506067,-47.441006,07:30:00,14:39:00,13,906.19,65.73
80000499,-23.502744,-47.433831,09:39:00,14:59:00,11,223.55,16.12
80000509,-23.503069,-47.433181,08:36:00,16:34:00,10,240,18.32
