description,license,startingAddressLatitude,startingAddressLongitude,finalAddressLatitude,finalAddressLongitude,constraintLoadWeightCapacity,constraintLoadVolumeCapacity,constraintStartingTime,constraintArrivalTime
FrotaFixaAmBev1,ECM5114,-23.492669,-47.477858,-23.492669,-47.477858,10050,700,07:00:00 AM,04:20:00 PM
FrotaFixaAmBev2,ECM9853,-23.492669,-47.477858,-23.492669,-47.477858,10050,700,07:00:00 AM,04:20:00 PM
FrotaFixaAmBev3,ECM9420,-23.492669,-47.477858,-23.492669,-47.477858,10050,700,07:00:00 AM,04:20:00 PM
FrotaFixaAmBev4,ECM6807,-23.492669,-47.477858,-23.492669,-47.477858,10050,700,07:00:00 AM,04:20:00 PM
FrotaFixaAmBev5,KWB9852,-23.492669,-47.477858,-23.492669,-47.477858,10050,700,07:00:00 AM,04:20:00 PM
FrotaFixaAmBev6,ECM9417,-23.492669,-47.477858,-23.492669,-47.477858,10050,700,07:00:00 AM,04:20:00 PM
FrotaFixaAmBev7,ECM8619,-23.492669,-47.477858,-23.492669,-47.477858,10050,700,07:00:00 AM,04:20:00 PM
FrotaFixaAmBev8,ECM9415,-23.492669,-47.477858,-23.492669,-47.477858,10050,700,07:00:00 AM,04:20:00 PM
FrotaFixaAmBev9,ECM8618,-23.492669,-47.477858,-23.492669,-47.477858,10050,700,07:00:00 AM,04:20:00 PM
FrotaFixaAmBev10,ECM9854,-23.492669,-47.477858,-23.492669,-47.477858,10050,700,07:00:00 AM,04:20:00 PM
FrotaFixaAmBev11,ECM9427,-23.492669,-47.477858,-23.492669,-47.477858,10050,700,07:00:00 AM,04:20:00 PM
FrotaFixaAmBev12,ECM8594,-23.492669,-47.477858,-23.492669,-47.477858,10050,700,07:00:00 AM,04:20:00 PM
FrotaFixaAmBev13,ECM8614,-23.492669,-47.477858,-23.492669,-47.477858,10050,700,07:00:00 AM,04:20:00 PM
FrotaFixaAmBev14,ECM8620,-23.492669,-47.477858,-23.492669,-47.477858,7900,700,07:00:00 AM,04:20:00 PM
FrotaFixaAmBev15,ECM8613,-23.492669,-47.477858,-23.492669,-47.477858,7900,520,07:00:00 AM,04:20:00 PM
FrotaFixaAmBev16,ECM8606,-23.492669,-47.477858,-23.492669,-47.477858,7900,520,07:00:00 AM,04:20:00 PM
FrotaFixaAmBev17,ECM8602,-23.492669,-47.477858,-23.492669,-47.477858,7900,520,07:00:00 AM,04:20:00 PM
FrotaFixaAmBev18,ECM8607,-23.492669,-47.477858,-23.492669,-47.477858,7900,520,07:00:00 AM,04:20:00 PM
FrotaFixaAmBev19,ECM9243,-23.492669,-47.477858,-23.492669,-47.477858,10050,700,07:00:00 AM,04:20:00 PM
FrotaFixaAmBev20,ECM8601,-23.492669,-47.477858,-23.492669,-47.477858,1960,280,07:00:00 AM,04:20:00 PM
FrotaFixaAmBev21,ECM8631,-23.492669,-47.477858,-23.492669,-47.477858,1960,280,07:00:00 AM,04:20:00 PM
FrotaFixaAmBev22,ECM8625,-23.492669,-47.477858,-23.492669,-47.477858,1960,280,07:00:00 AM,04:20:00 PM
FrotaFixaAmBev23,ECM9429,-23.492669,-47.477858,-23.492669,-47.477858,10050,700,07:00:00 AM,04:20:00 PM
FrotaFixaAmBev24,ECM8624,-23.492669,-47.477858,-23.492669,-47.477858,7900,520,07:00:00 AM,04:20:00 PM
FrotaFixaAmBev25,ECM9223,-23.492669,-47.477858,-23.492669,-47.477858,10050,728,07:00:00 AM,04:20:00 PM
FrotaFixaAmBev26,ECM8596,-23.492669,-47.477858,-23.492669,-47.477858,10050,700,07:00:00 AM,04:20:00 PM
